,Reference area,REF_AREA,Measure,Unit of measure,TIME_PERIOD,Avoidable_mortality_values
799,Czechia,CZE,Treatable mortality,Deaths,2020,12883.0
800,Czechia,CZE,Treatable mortality,Deaths,2021,13118.0
801,Czechia,CZE,Treatable mortality,Deaths,2000,17608.0
802,Czechia,CZE,Treatable mortality,Deaths,2001,16849.5
803,Czechia,CZE,Treatable mortality,Deaths,2002,16636.5
804,Czechia,CZE,Treatable mortality,Deaths,2003,16445.5
805,Czechia,CZE,Treatable mortality,Deaths,2004,15726.0
806,Czechia,CZE,Treatable mortality,Deaths,2005,15012.0
807,Czechia,CZE,Treatable mortality,Deaths,2006,14592.5
808,Czechia,CZE,Treatable mortality,Deaths,2007,14201.5
809,Czechia,CZE,Treatable mortality,Deaths,2008,13993.0
810,Czechia,CZE,Treatable mortality,Deaths,2009,14119.0
811,Czechia,CZE,Treatable mortality,Deaths,2010,14060.0
812,Czechia,CZE,Treatable mortality,Deaths,2011,13339.0
813,Czechia,CZE,Treatable mortality,Deaths,2012,13453.5
814,Czechia,CZE,Treatable mortality,Deaths,2013,13553.5
815,Czechia,CZE,Treatable mortality,Deaths,2014,12821.5
816,Czechia,CZE,Treatable mortality,Deaths,2015,13389.0
817,Czechia,CZE,Treatable mortality,Deaths,2016,12881.5
818,Czechia,CZE,Treatable mortality,Deaths,2017,13043.5
819,Czechia,CZE,Treatable mortality,Deaths,2018,12899.0
820,Czechia,CZE,Treatable mortality,Deaths,2019,12561.0
821,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2019,123.4
822,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2020,150.6
823,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2001,173.0
824,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2002,168.9
825,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2003,165.2
826,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2004,157.5
827,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2005,154.2
828,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2006,150.8
829,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2007,147.8
830,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2008,147.0
831,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2009,140.2
832,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2010,137.1
833,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2011,133.9
834,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2012,129.1
835,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2013,129.3
836,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2014,127.7
837,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2015,128.0
838,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2016,127.9
839,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2017,124.6
840,United Kingdom,GBR,Preventable mortality,Deaths per 100 000 inhabitants,2018,129.1
841,Switzerland,CHE,Treatable mortality,Deaths,2010,4218.0
842,Switzerland,CHE,Treatable mortality,Deaths,2011,4053.5
843,Switzerland,CHE,Treatable mortality,Deaths,2018,3787.0
844,Switzerland,CHE,Treatable mortality,Deaths,2019,3737.5
845,Switzerland,CHE,Treatable mortality,Deaths,2020,3689.0
846,Switzerland,CHE,Treatable mortality,Deaths,2021,3532.5
847,Switzerland,CHE,Treatable mortality,Deaths,2012,3964.0
848,Switzerland,CHE,Treatable mortality,Deaths,2013,3918.0
849,Switzerland,CHE,Treatable mortality,Deaths,2000,5104.5
850,Switzerland,CHE,Treatable mortality,Deaths,2001,4703.0
851,Switzerland,CHE,Treatable mortality,Deaths,2002,4683.5
852,Switzerland,CHE,Treatable mortality,Deaths,2003,4595.5
853,Switzerland,CHE,Treatable mortality,Deaths,2014,3916.0
854,Switzerland,CHE,Treatable mortality,Deaths,2015,3958.0
855,Switzerland,CHE,Treatable mortality,Deaths,2016,3807.0
856,Switzerland,CHE,Treatable mortality,Deaths,2017,3824.5
857,Switzerland,CHE,Treatable mortality,Deaths,2004,4371.0
858,Switzerland,CHE,Treatable mortality,Deaths,2005,4384.0
859,Switzerland,CHE,Treatable mortality,Deaths,2006,4281.0
860,Switzerland,CHE,Treatable mortality,Deaths,2007,4220.0
861,Switzerland,CHE,Treatable mortality,Deaths,2008,4200.5
862,Thailand,THA,Avoidable mortality,Deaths,2004,170396.0
863,Thailand,THA,Avoidable mortality,Deaths,2005,160150.0
864,Peru,PER,Treatable mortality,Deaths,2001,17941.5
865,Peru,PER,Treatable mortality,Deaths,2012,20279.0
866,Peru,PER,Treatable mortality,Deaths,2013,20781.5
867,Peru,PER,Treatable mortality,Deaths,2014,19941.0
868,Peru,PER,Treatable mortality,Deaths,2015,16071.5
869,Peru,PER,Treatable mortality,Deaths,2002,17684.5
870,Peru,PER,Treatable mortality,Deaths,2003,19535.0
871,Peru,PER,Treatable mortality,Deaths,2004,19896.0
872,Peru,PER,Treatable mortality,Deaths,2005,20887.5
873,Peru,PER,Treatable mortality,Deaths,2006,19046.5
874,Peru,PER,Treatable mortality,Deaths,2007,19411.5
875,Peru,PER,Treatable mortality,Deaths,2008,19223.0
876,Peru,PER,Treatable mortality,Deaths,2009,22018.5
877,Peru,PER,Treatable mortality,Deaths,2010,21423.5
878,Peru,PER,Treatable mortality,Deaths,2011,19914.5
879,Peru,PER,Treatable mortality,Deaths,2016,17328.5
880,Peru,PER,Treatable mortality,Deaths,2017,21091.0
881,Peru,PER,Treatable mortality,Deaths,2018,22933.0
882,Peru,PER,Treatable mortality,Deaths,2019,23239.0
883,Peru,PER,Treatable mortality,Deaths,2020,23927.0
884,Canada,CAN,Avoidable mortality,Deaths,2021,82879.0
885,Canada,CAN,Avoidable mortality,Deaths,2022,79978.0
886,Canada,CAN,Avoidable mortality,Deaths,2000,66148.0
887,Canada,CAN,Avoidable mortality,Deaths,2001,65456.0
888,Canada,CAN,Avoidable mortality,Deaths,2002,65738.0
889,Canada,CAN,Avoidable mortality,Deaths,2003,65980.0
890,Canada,CAN,Avoidable mortality,Deaths,2004,65093.0
891,Canada,CAN,Avoidable mortality,Deaths,2005,65756.0
892,Canada,CAN,Avoidable mortality,Deaths,2006,64057.0
893,Canada,CAN,Avoidable mortality,Deaths,2007,66230.0
894,Canada,CAN,Avoidable mortality,Deaths,2008,66681.0
895,Canada,CAN,Avoidable mortality,Deaths,2009,66107.0
896,Canada,CAN,Avoidable mortality,Deaths,2010,66079.0
897,Canada,CAN,Avoidable mortality,Deaths,2011,65697.0
898,Canada,CAN,Avoidable mortality,Deaths,2012,67265.0
899,Canada,CAN,Avoidable mortality,Deaths,2013,68374.0
900,Canada,CAN,Avoidable mortality,Deaths,2014,70021.0
901,Canada,CAN,Avoidable mortality,Deaths,2015,70666.0
902,Canada,CAN,Avoidable mortality,Deaths,2016,70628.0
903,Canada,CAN,Avoidable mortality,Deaths,2017,72401.0
904,Canada,CAN,Avoidable mortality,Deaths,2018,74751.0
905,Canada,CAN,Avoidable mortality,Deaths,2019,73838.0
906,Canada,CAN,Avoidable mortality,Deaths,2020,79478.0
907,Colombia,COL,Avoidable mortality,Deaths,2021,173869.0
908,Colombia,COL,Avoidable mortality,Deaths,2000,110343.0
909,Colombia,COL,Avoidable mortality,Deaths,2011,89532.0
910,Colombia,COL,Avoidable mortality,Deaths,2012,91091.0
911,Colombia,COL,Avoidable mortality,Deaths,2013,90613.0
912,Colombia,COL,Avoidable mortality,Deaths,2014,90039.0
913,Colombia,COL,Avoidable mortality,Deaths,2001,110636.0
914,Colombia,COL,Avoidable mortality,Deaths,2002,110426.0
915,Colombia,COL,Avoidable mortality,Deaths,2003,103282.0
916,Colombia,COL,Avoidable mortality,Deaths,2004,101494.0
917,Colombia,COL,Avoidable mortality,Deaths,2005,97250.0
918,Colombia,COL,Avoidable mortality,Deaths,2006,97173.0
919,Colombia,COL,Avoidable mortality,Deaths,2007,95082.0
920,Colombia,COL,Avoidable mortality,Deaths,2008,95522.0
921,Colombia,COL,Avoidable mortality,Deaths,2009,95575.0
922,Colombia,COL,Avoidable mortality,Deaths,2010,93683.0
923,Colombia,COL,Avoidable mortality,Deaths,2015,92408.0
924,Colombia,COL,Avoidable mortality,Deaths,2016,94619.0
925,Colombia,COL,Avoidable mortality,Deaths,2017,94979.0
926,Colombia,COL,Avoidable mortality,Deaths,2018,99098.0
927,Colombia,COL,Avoidable mortality,Deaths,2019,99976.0
928,Colombia,COL,Avoidable mortality,Deaths,2020,131982.0
929,Argentina,ARG,Avoidable mortality,Deaths,2018,100852.0
930,Argentina,ARG,Avoidable mortality,Deaths,2019,99429.0
931,Argentina,ARG,Avoidable mortality,Deaths,2001,97485.0
932,Argentina,ARG,Avoidable mortality,Deaths,2002,97594.0
933,Argentina,ARG,Avoidable mortality,Deaths,2003,98405.0
934,Argentina,ARG,Avoidable mortality,Deaths,2004,93933.0
935,Argentina,ARG,Avoidable mortality,Deaths,2020,119234.0
936,Argentina,ARG,Avoidable mortality,Deaths,2021,154882.0
937,Argentina,ARG,Avoidable mortality,Deaths,2005,92507.0
938,Argentina,ARG,Avoidable mortality,Deaths,2008,92026.0
939,Argentina,ARG,Avoidable mortality,Deaths,2009,91843.0
940,Argentina,ARG,Avoidable mortality,Deaths,2010,92322.0
941,Argentina,ARG,Avoidable mortality,Deaths,2011,92918.0
942,Argentina,ARG,Avoidable mortality,Deaths,2012,94661.0
943,Argentina,ARG,Avoidable mortality,Deaths,2013,97478.0
944,Argentina,ARG,Avoidable mortality,Deaths,2000,97487.0
945,Argentina,ARG,Avoidable mortality,Deaths,2006,92420.0
946,Argentina,ARG,Avoidable mortality,Deaths,2007,94584.0
947,Argentina,ARG,Avoidable mortality,Deaths,2014,97388.0
948,Argentina,ARG,Avoidable mortality,Deaths,2015,101081.0
949,Argentina,ARG,Avoidable mortality,Deaths,2016,104584.0
950,Argentina,ARG,Avoidable mortality,Deaths,2017,101613.0
951,Croatia,HRV,Treatable mortality,Deaths,2021,5702.5
952,Croatia,HRV,Treatable mortality,Deaths,2000,8403.0
953,Croatia,HRV,Treatable mortality,Deaths,2011,5960.5
954,Croatia,HRV,Treatable mortality,Deaths,2012,5794.5
955,Croatia,HRV,Treatable mortality,Deaths,2013,5446.0
956,Croatia,HRV,Treatable mortality,Deaths,2014,5552.0
957,Croatia,HRV,Treatable mortality,Deaths,2001,7916.5
958,Croatia,HRV,Treatable mortality,Deaths,2002,7909.5
959,Croatia,HRV,Treatable mortality,Deaths,2003,7982.5
960,Croatia,HRV,Treatable mortality,Deaths,2004,7389.5
961,Argentina,ARG,Treatable mortality,Deaths,2013,46934.0
962,Argentina,ARG,Treatable mortality,Deaths,2014,46871.5
963,Croatia,HRV,Treatable mortality,Deaths,2007,6883.5
964,Croatia,HRV,Treatable mortality,Deaths,2008,6728.5
965,Croatia,HRV,Treatable mortality,Deaths,2009,6417.0
966,Croatia,HRV,Treatable mortality,Deaths,2010,6330.5
967,Croatia,HRV,Treatable mortality,Deaths,2015,5701.0
968,Croatia,HRV,Treatable mortality,Deaths,2016,5336.5
969,Croatia,HRV,Treatable mortality,Deaths,2017,5345.5
970,Croatia,HRV,Treatable mortality,Deaths,2018,5170.5
971,Croatia,HRV,Treatable mortality,Deaths,2019,5058.0
972,Croatia,HRV,Treatable mortality,Deaths,2020,5281.5
973,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2016,103.1
974,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2017,103.2
975,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2013,105.2
976,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2014,106.6
977,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2000,146.9
978,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2003,128.1
979,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2018,101.0
980,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2019,103.9
981,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2020,96.3
982,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2021,97.3
983,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2022,105.3
984,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2008,115.8
985,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2009,114.0
986,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2010,110.0
987,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2011,108.9
988,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2012,104.8
989,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2004,124.3
990,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2006,117.9
991,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2001,140.6
992,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2007,114.5
993,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2002,135.1
994,Australia,AUS,Preventable mortality,Deaths per 100 000 inhabitants,2015,107.7
995,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2005,241.3
996,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2006,210.4
997,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2017,181.5
998,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2018,201.2
999,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2019,205.9
1000,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2020,503.6
1001,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2007,213.4
1002,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2008,203.8
1003,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2009,220.1
1004,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2010,213.1
1005,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2011,199.7
1006,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2012,200.7
1007,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2013,201.6
1008,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2014,189.5
1009,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2015,170.3
1010,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2016,162.6
1011,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2000,230.1
1012,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2001,219.8
1013,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2002,211.7
1014,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2003,228.1
1015,Peru,PER,Avoidable mortality,Deaths per 100 000 inhabitants,2004,225.9
1016,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2020,173.7
1017,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2021,162.8
1018,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2000,329.4
1019,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2001,320.8
1020,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2002,311.0
1021,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2003,303.0
1022,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2004,292.7
1023,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2005,281.1
1024,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2006,279.0
1025,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2007,264.4
1026,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2008,254.4
1027,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2009,244.4
1028,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2010,238.7
1029,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2011,221.2
1030,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2012,216.9
1031,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2013,206.8
1032,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2014,201.8
1033,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2015,197.7
1034,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2016,198.5
1035,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2017,188.6
1036,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2018,180.5
1037,Denmark,DNK,Avoidable mortality,Deaths per 100 000 inhabitants,2019,179.9
1038,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2021,118.8
1039,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2000,168.6
1040,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2011,122.2
1041,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2012,119.7
1042,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2013,116.3
1043,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2014,106.8
1044,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2001,160.1
1045,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2002,151.8
1046,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2003,150.2
1047,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2004,146.6
1048,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2005,142.9
1049,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2006,143.4
1050,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2007,140.3
1051,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2008,137.1
1052,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2009,133.2
1053,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2010,125.9
1054,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2015,107.4
1055,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2016,106.2
1056,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2017,107.9
1057,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2018,106.3
1058,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2019,109.5
1059,Poland,POL,Treatable mortality,Deaths per 100 000 inhabitants,2020,117.4
1060,Switzerland,CHE,Treatable mortality,Deaths,2009,4277.5
1061,Peru,PER,Treatable mortality,Deaths,2000,17100.0
1062,Croatia,HRV,Preventable mortality,Deaths,2006,11029.5
1063,Croatia,HRV,Preventable mortality,Deaths,2007,11185.5
1064,Croatia,HRV,Preventable mortality,Deaths,2001,12317.5
1065,Croatia,HRV,Preventable mortality,Deaths,2002,11975.5
1066,Croatia,HRV,Preventable mortality,Deaths,2015,9461.0
1067,Croatia,HRV,Preventable mortality,Deaths,2016,9000.5
1068,Croatia,HRV,Preventable mortality,Deaths,2017,9040.5
1069,Croatia,HRV,Preventable mortality,Deaths,2018,9380.5
1070,Croatia,HRV,Preventable mortality,Deaths,2019,9232.0
1071,Croatia,HRV,Preventable mortality,Deaths,2020,10713.5
1072,Croatia,HRV,Preventable mortality,Deaths,2021,12792.5
1073,Croatia,HRV,Preventable mortality,Deaths,2003,12265.5
1074,Croatia,HRV,Preventable mortality,Deaths,2004,11665.5
1075,Croatia,HRV,Preventable mortality,Deaths,2005,11594.0
1076,Croatia,HRV,Preventable mortality,Deaths,2000,12678.0
1077,Croatia,HRV,Preventable mortality,Deaths,2009,10851.0
1078,Croatia,HRV,Preventable mortality,Deaths,2010,10605.5
1079,Croatia,HRV,Preventable mortality,Deaths,2008,11132.5
1080,Croatia,HRV,Preventable mortality,Deaths,2011,10122.5
1081,Croatia,HRV,Preventable mortality,Deaths,2012,9877.5
1082,Latvia,LVA,Treatable mortality,Deaths,2021,3676.5
1083,Latvia,LVA,Treatable mortality,Deaths,2000,5866.0
1084,Latvia,LVA,Treatable mortality,Deaths,2011,4409.5
1085,Latvia,LVA,Treatable mortality,Deaths,2012,4190.0
1086,Latvia,LVA,Treatable mortality,Deaths,2013,4056.0
1087,Latvia,LVA,Treatable mortality,Deaths,2014,3795.5
1088,Latvia,LVA,Treatable mortality,Deaths,2001,5997.5
1089,Latvia,LVA,Treatable mortality,Deaths,2002,5918.5
1090,Latvia,LVA,Treatable mortality,Deaths,2003,5678.0
1091,Latvia,LVA,Treatable mortality,Deaths,2004,5501.0
1092,Latvia,LVA,Treatable mortality,Deaths,2005,5592.5
1093,Latvia,LVA,Treatable mortality,Deaths,2006,5524.0
1094,Latvia,LVA,Treatable mortality,Deaths,2007,5294.0
1095,Latvia,LVA,Treatable mortality,Deaths,2008,4980.5
1096,Latvia,LVA,Treatable mortality,Deaths,2009,4705.5
1097,Latvia,LVA,Treatable mortality,Deaths,2010,4656.5
1098,Latvia,LVA,Treatable mortality,Deaths,2015,3710.0
1099,Latvia,LVA,Treatable mortality,Deaths,2016,3593.0
1100,Latvia,LVA,Treatable mortality,Deaths,2017,3491.0
1101,Latvia,LVA,Treatable mortality,Deaths,2018,3442.0
1102,Latvia,LVA,Treatable mortality,Deaths,2019,3329.0
1103,Latvia,LVA,Treatable mortality,Deaths,2020,3308.5
1104,Australia,AUS,Preventable mortality,Deaths,2022,27671.5
1105,Australia,AUS,Preventable mortality,Deaths,2012,22264.5
1106,Australia,AUS,Preventable mortality,Deaths,2009,22556.5
1107,Australia,AUS,Preventable mortality,Deaths,2010,22338.5
1108,Australia,AUS,Preventable mortality,Deaths,2011,22486.5
1109,Australia,AUS,Preventable mortality,Deaths,2000,24198.5
1110,Australia,AUS,Preventable mortality,Deaths,2013,22913.5
1111,Australia,AUS,Preventable mortality,Deaths,2014,23798.0
1112,Australia,AUS,Preventable mortality,Deaths,2015,24592.0
1113,Australia,AUS,Preventable mortality,Deaths,2001,23407.0
1114,Australia,AUS,Preventable mortality,Deaths,2002,22894.0
1115,Australia,AUS,Preventable mortality,Deaths,2003,22042.0
1116,Australia,AUS,Preventable mortality,Deaths,2004,21688.0
1117,Australia,AUS,Preventable mortality,Deaths,2006,21039.0
1118,Australia,AUS,Preventable mortality,Deaths,2007,21454.5
1119,Australia,AUS,Preventable mortality,Deaths,2008,22242.5
1120,Australia,AUS,Preventable mortality,Deaths,2016,24107.5
1121,Australia,AUS,Preventable mortality,Deaths,2017,24760.5
1122,Australia,AUS,Preventable mortality,Deaths,2018,24812.0
1123,Australia,AUS,Preventable mortality,Deaths,2019,26088.0
1124,Australia,AUS,Preventable mortality,Deaths,2020,24767.5
1125,Australia,AUS,Preventable mortality,Deaths,2021,25354.5
1126,Luxembourg,LUX,Avoidable mortality,Deaths,2021,918.0
1127,Luxembourg,LUX,Avoidable mortality,Deaths,2022,894.0
1128,Luxembourg,LUX,Avoidable mortality,Deaths,2000,1129.0
1129,Luxembourg,LUX,Avoidable mortality,Deaths,2001,1060.0
1130,Luxembourg,LUX,Avoidable mortality,Deaths,2002,1129.0
1131,Luxembourg,LUX,Avoidable mortality,Deaths,2003,1124.0
1132,Luxembourg,LUX,Avoidable mortality,Deaths,2004,911.0
1133,Luxembourg,LUX,Avoidable mortality,Deaths,2005,946.0
1134,Luxembourg,LUX,Avoidable mortality,Deaths,2006,1015.0
1135,Luxembourg,LUX,Avoidable mortality,Deaths,2007,966.0
1136,Luxembourg,LUX,Avoidable mortality,Deaths,2008,842.0
1137,Luxembourg,LUX,Avoidable mortality,Deaths,2009,896.0
1138,Luxembourg,LUX,Avoidable mortality,Deaths,2010,896.0
1139,Luxembourg,LUX,Avoidable mortality,Deaths,2011,876.0
1140,Luxembourg,LUX,Avoidable mortality,Deaths,2012,861.0
1141,Luxembourg,LUX,Avoidable mortality,Deaths,2013,902.0
1142,Luxembourg,LUX,Avoidable mortality,Deaths,2014,866.0
1143,Luxembourg,LUX,Avoidable mortality,Deaths,2015,841.0
1144,Luxembourg,LUX,Avoidable mortality,Deaths,2016,891.0
1145,Luxembourg,LUX,Avoidable mortality,Deaths,2017,898.0
1146,Luxembourg,LUX,Avoidable mortality,Deaths,2018,894.0
1147,Luxembourg,LUX,Avoidable mortality,Deaths,2019,853.0
1148,Luxembourg,LUX,Avoidable mortality,Deaths,2020,939.0
1149,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2021,335.0
1150,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2000,430.7
1151,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2011,306.2
1152,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2012,298.6
1153,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2013,296.5
1154,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2014,275.1
1155,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2001,411.7
1156,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2002,405.0
1157,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2003,402.0
1158,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2004,383.8
1159,Croatia,HRV,Treatable mortality,Deaths,2005,7496.0
1160,Croatia,HRV,Treatable mortality,Deaths,2006,7124.5
1161,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2007,343.5
1162,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2008,332.7
1163,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2009,326.9
1164,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2010,319.9
1165,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2015,278.6
1166,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2016,263.9
1167,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2017,264.6
1168,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2018,260.7
1169,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2019,252.0
1170,Czechia,CZE,Avoidable mortality,Deaths per 100 000 inhabitants,2020,276.6
1171,New Zealand,NZL,Avoidable mortality,Deaths per 100 000 inhabitants,2004,254.6
1172,New Zealand,NZL,Avoidable mortality,Deaths per 100 000 inhabitants,2005,235.2
1173,New Zealand,NZL,Avoidable mortality,Deaths per 100 000 inhabitants,2016,179.5
1174,New Zealand,NZL,Avoidable mortality,Deaths per 100 000 inhabitants,2000,281.9
1175,New Zealand,NZL,Avoidable mortality,Deaths per 100 000 inhabitants,2001,281.1
1176,New Zealand,NZL,Avoidable mortality,Deaths per 100 000 inhabitants,2002,269.4
1177,New Zealand,NZL,Avoidable mortality,Deaths per 100 000 inhabitants,2006,233.9
1178,New Zealand,NZL,Avoidable mortality,Deaths per 100 000 inhabitants,2007,230.9
1179,New Zealand,NZL,Avoidable mortality,Deaths per 100 000 inhabitants,2008,224.9
1180,New Zealand,NZL,Avoidable mortality,Deaths per 100 000 inhabitants,2009,221.0
1181,New Zealand,NZL,Avoidable mortality,Deaths per 100 000 inhabitants,2010,205.8
1182,New Zealand,NZL,Avoidable mortality,Deaths per 100 000 inhabitants,2011,208.9
