Country,Country_code,Measure,Domain,Unit_of_measure,Age,Year,Well-being_values
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2005,88.7
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2006,90.1
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2007,91.5
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2008,90.9
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2009,91.6
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2010,90.8
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2011,91.9
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2012,90.7
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2013,89.4
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2014,89
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2015,87.4
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2016,86.7
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2017,86.9
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2018,86
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2019,85.4
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2020,86.7
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2021,82.9
Sweden,SWE,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2022,75.7
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2004,85.3
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2005,87.7
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2006,85.6
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2007,88.5
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2008,90.9
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2009,87.6
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2010,87.7
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2011,85.7
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2012,86.6
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2013,89.8
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2014,87.3
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2015,85.9
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2016,84.2
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2017,85.2
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2018,80.9
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2019,87.6
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2020,90.2
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2021,86.4
Estonia,EST,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2022,88.1
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2004,5.72
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2005,6.21
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2006,6.87
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2007,7.11
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2008,7.04
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2009,5.74
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2010,5.64
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2011,6.33
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2012,6.68
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2013,7.23
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2014,6.41
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2015,5.82
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2016,5.29
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2017,4.16
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2018,3.97
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2019,4.63
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2020,4.29
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2021,2.91
Slovak Republic,SVK,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2022,3.05
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2004,86.765448580
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2005,86.758595572
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2006,87.467948080
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2007,87.913534967
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2008,86.680311827
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2009,82.096
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2010,82.005
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2011,82.236
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2012,83.154
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2013,83.615
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2014,83.584
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2015,85.912
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2016,87.784
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2017,87.344
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2018,86.753
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2019,86.075
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2020,82.583
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2021,83.481
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2022,86.704
Iceland,ISL,Employment rate,Work and job quality,Percentage of population aged 25-64 years in the same subgroup,Middle-aged,2023,87.609
France,FRA,Job strain,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2005,37.230312347
France,FRA,Job strain,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2010,35.841754913
France,FRA,Job strain,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2015,27.177045822
Norway,NOR,Satisfaction with time use,Work-life balance,0-10 scale,Young,2013,6.894194189
Norway,NOR,Satisfaction with time use,Work-life balance,0-10 scale,Young,2018,7.288453158
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2004,15.956046938
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2005,16.913488613
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2006,15.311151214
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2007,10.837858478
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2008,9.213680327
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2009,10.389740928
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2010,16.901027015
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2011,16.755875263
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2012,17.821150020
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2013,19.392592248
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2014,16.010116483
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2015,13.538884904
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2016,9.936115986
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2017,7.913231101
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2018,6.458891428
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2019,6.041405617
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2020,7.123082174
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2021,9.018051063
Slovak Republic,SVK,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2022,9.497375908
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2004,3.424315896
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2005,3.521290673
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2006,3.483069023
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2007,3.004282252
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2008,2.564070277
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2009,2.832445075
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2010,3.339411134
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2011,3.512591279
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2012,3.589984460
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2013,3.858499898
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2014,4.039168587
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2015,4.132710149
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2016,4.128763018
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2017,3.894314604
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2018,3.439624664
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2019,2.887640519
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2020,2.663089695
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2021,2.138492708
France,FRA,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Middle-aged,2022,1.820999200
Finland,FIN,Having a say in government,Civic engagement,Percentage of population aged 16-65 in the same subgroup,Middle-aged,2012,48.64453154
Finland,FIN,Having a say in government,Civic engagement,Percentage of population aged 16-65 in the same subgroup,Middle-aged,2021,23.635784
Czechia,CZE,Having a say in government,Civic engagement,Percentage of population aged 16-65 in the same subgroup,Young,2012,22.04372637
France,FRA,Adult literacy skills,Knowledge and skills,Points,Middle-aged,2012,272.14735
Hungary,HUN,Satisfaction with personal relationships,Social connections,0-10 scale,Middle-aged,2013,7.561140562
Hungary,HUN,Satisfaction with personal relationships,Social connections,0-10 scale,Middle-aged,2018,7.626922582
Hungary,HUN,Satisfaction with personal relationships,Social connections,0-10 scale,Middle-aged,2022,7.707218929
Italy,ITA,Satisfaction with personal relationships,Social connections,0-10 scale,Middle-aged,2013,7.394230474
Italy,ITA,Satisfaction with personal relationships,Social connections,0-10 scale,Middle-aged,2018,7.571379154
Italy,ITA,Satisfaction with personal relationships,Social connections,0-10 scale,Middle-aged,2022,7.341989708
Germany,DEU,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2010,79.69537377
Germany,DEU,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2011,79.69537377
Germany,DEU,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2012,79.69537377
Germany,DEU,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2013,79.69537377
Germany,DEU,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2014,79.69537377
Germany,DEU,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2015,79.69537377
Germany,DEU,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2016,79.69537377
Germany,DEU,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2017,79.69537377
Germany,DEU,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2018,79.69537377
Germany,DEU,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2019,79.69537377
Germany,DEU,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2020,79.69537377
Germany,DEU,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2022,79.69537377
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2010,48.36548567
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2011,48.36548567
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2012,48.36548567
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2013,48.36548567
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2014,48.36548567
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2015,48.36548567
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2016,48.36548567
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2017,48.36548567
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2018,48.36548567
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2019,48.36548567
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2020,48.36548567
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2021,48.36548567
Chile,CHL,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2022,48.36548567
Greece,GRC,Time spent in social interactions,Social connections,Hours per week,Middle-aged,2012,6.552417605
United Kingdom,GBR,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,78.00563574
United Kingdom,GBR,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,78.00563574
United Kingdom,GBR,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,78.00563574
United Kingdom,GBR,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,78.00563574
United Kingdom,GBR,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,78.00563574
United Kingdom,GBR,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,78.00563574
United Kingdom,GBR,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,78.00563574
United Kingdom,GBR,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,78.00563574
United Kingdom,GBR,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,78.00563574
United Kingdom,GBR,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,78.00563574
United Kingdom,GBR,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,78.00563574
United Kingdom,GBR,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,78.00563574
Ireland,IRL,Job strain,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2005,22.814363480
Ireland,IRL,Job strain,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2010,23.616813660
Ireland,IRL,Job strain,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2015,22.957473755
Estonia,EST,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2007,3.117303848
Estonia,EST,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2008,3.885446072
Estonia,EST,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2009,9.629956245
Estonia,EST,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2010,10.549043655
Estonia,EST,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2011,9.413866043
Estonia,EST,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2012,7.338751793
Estonia,EST,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2013,5.913905621
Estonia,EST,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2014,5.684703827
Estonia,EST,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2015,4.666878223
Estonia,EST,Labour market insecurity,Work and job quality,Percentage of previous earnings lost in the same subgroup,Middle-aged,2016,4.872455597
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2005,50.85
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2006,52.35
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2007,54.6
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2008,62.3
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2009,65.55
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2010,66.75
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2011,66.75
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2012,70
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2013,69.75
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2014,70.05
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2015,70.5
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2016,54.9
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2017,58.2
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2018,56.4
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2019,55.2
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2020,59.1
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2021,56.7
Slovak Republic,SVK,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2022,60.1
Italy,ITA,Satisfaction with time use,Work-life balance,0-10 scale,Young,2013,6.533410517
Italy,ITA,Satisfaction with time use,Work-life balance,0-10 scale,Young,2018,7.046237198
Italy,ITA,Satisfaction with time use,Work-life balance,0-10 scale,Young,2022,6.994735815
Sweden,SWE,Satisfaction with time use,Work-life balance,0-10 scale,Young,2013,7.256272306
Sweden,SWE,Satisfaction with time use,Work-life balance,0-10 scale,Young,2018,7.137719243
Sweden,SWE,Satisfaction with time use,Work-life balance,0-10 scale,Young,2022,7.171663171
Costa Rica,CRI,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,13.9906913
Costa Rica,CRI,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,13.9906913
Costa Rica,CRI,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,13.9906913
Costa Rica,CRI,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,13.9906913
Costa Rica,CRI,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,13.9906913
Costa Rica,CRI,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,13.9906913
Costa Rica,CRI,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,13.9906913
Costa Rica,CRI,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,13.9906913
Costa Rica,CRI,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,13.9906913
Costa Rica,CRI,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,13.9906913
Costa Rica,CRI,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,13.9906913
Costa Rica,CRI,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,13.9906913
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2004,89.7
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2005,88.1
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2006,88.1
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2007,89.8
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2008,89.4
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2009,88.8
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2010,86.4
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2011,83.8
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2012,89.5
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2013,88.3
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2014,88.6
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2015,86.5
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2016,87.4
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2017,86.3
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2018,85.8
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2019,83.8
Norway,NOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2020,86.5
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2004,94.8
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2005,95
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2006,97.8
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2007,95.1
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2008,97.3
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2009,96.8
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2010,97.5
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2011,97.8
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2012,98.6
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2013,96.8
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2014,98.4
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2015,97.8
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2016,97.5
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2017,93.2
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2018,93
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2019,91.6
Israel,ISR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2020,92.8
