,REF_AREA,Reference area,Measure,Unit of measure,Age,Health status,TIME_PERIOD,OBS_VALUE
364,USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,92.8
365,USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2016,93.1
366,USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2017,93.4
367,USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2018,93.1
368,USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2019,90.9
369,USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2020,91.4
370,USA,United States,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2021,92.2
371,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1987,86.3
372,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1993,85.5
373,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1995,84.0
374,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1997,85.1
375,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2001,87.5
376,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,86.9
377,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,93.3
378,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,94.1
379,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,93.8
380,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,93.8
381,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,94.3
382,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,93.2
383,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,94.8
384,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,96.5
385,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,96.7
386,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,94.7
387,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,95.6
388,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,95.2
389,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,95.1
390,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,96.4
391,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,95.7
392,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,96.4
393,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,95.6
394,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,92.3
395,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,93.1
396,ESP,Spain,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,92.7
397,LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,52.0
398,LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,59.4
399,LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,63.8
400,LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,63.3
401,LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,65.8
402,LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,68.8
403,LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,68.1
404,LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,70.3
405,LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,70.2
406,LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,72.7
407,LVA,Latvia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,71.9
408,COL,Colombia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2018,86.9
409,COL,Colombia,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2019,87.2
410,BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,84.2
411,BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,89.9
412,BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,91.0
413,BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,91.1
414,BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,91.0
415,BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,89.5
416,BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,90.7
417,BGR,Bulgaria,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,91.1
418,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,92.2
419,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,93.2
420,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,93.9
421,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,93.8
422,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,92.9
423,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,92.4
424,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,91.2
425,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,91.2
426,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,92.0
427,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,90.0
428,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,90.5
429,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,90.2
430,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,89.8
431,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,91.1
432,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,90.3
433,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,89.5
434,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,92.8
435,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,91.7
436,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,89.8
437,FRA,France,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,89.3
438,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,59.0
439,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,70.4
440,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,74.2
441,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,76.9
442,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,74.4
443,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,76.0
444,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,77.4
445,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,79.6
446,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,78.5
447,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,79.8
448,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,77.8
449,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2016,81.1
450,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2017,81.5
451,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2018,80.1
452,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2019,79.5
453,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2020,83.2
454,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2021,80.8
455,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2022,80.3
456,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1983,93.8
457,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1984,92.9
458,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1985,92.5
459,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1986,93.0
460,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1987,92.8
461,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1988,91.5
462,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1989,91.5
463,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1990,92.1
464,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1991,92.1
465,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1992,91.7
466,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1993,91.3
467,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1994,89.9
468,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1995,91.2
469,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1996,91.8
470,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1997,90.3
471,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1998,88.4
472,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1999,88.9
473,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2000,88.9
474,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2001,90.1
475,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2002,88.5
476,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,88.8
477,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,88.6
478,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,91.9
479,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,92.7
480,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,90.6
481,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,90.8
482,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,91.9
483,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,93.5
484,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,91.4
485,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,93.5
486,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,89.4
487,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,92.1
488,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,89.6
489,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,90.9
490,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,87.5
491,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,88.6
492,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,87.3
493,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,90.2
494,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,84.9
495,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,82.3
496,NLD,Netherlands,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,78.8
497,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1998,94.8
498,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2002,93.4
499,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,96.0
500,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,95.4
501,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,95.1
502,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,95.1
503,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,95.3
504,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,95.0
505,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,95.1
506,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,96.1
507,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,95.8
508,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,95.0
509,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,94.6
510,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,94.9
511,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,95.3
512,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,95.7
513,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,95.2
514,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,95.3
515,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,94.3
516,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,91.7
517,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,93.1
518,IRL,Ireland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,92.5
519,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1997,89.6
520,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,90.9
521,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,92.1
522,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,93.1
523,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,92.1
524,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,93.7
525,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,92.5
526,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,89.9
527,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,89.4
528,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,89.9
529,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,85.2
530,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,90.5
531,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,92.3
532,NZL,New Zealand,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,91.3
533,CRI,Costa Rica,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2018,74.3
534,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1994,94.2
535,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1996,94.0
536,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1998,93.9
537,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,93.2
538,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,93.8
539,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,93.6
540,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,93.5
541,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,93.4
542,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,93.7
543,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,93.5
544,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,93.0
545,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,93.3
546,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,93.4
547,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,92.8
548,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,93.2
549,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2016,93.5
550,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2017,93.3
551,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2018,92.9
552,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2019,92.8
553,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2020,92.7
554,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2021,92.1
555,CAN,Canada,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2022,90.0
556,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1996,81.6
557,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2001,86.5
558,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2004,87.4
559,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,91.1
560,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,91.3
561,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,92.1
562,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,92.6
563,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,92.2
564,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,93.1
565,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,92.9
566,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,93.0
567,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,93.6
568,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,93.2
569,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,93.8
570,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,92.7
571,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,90.9
572,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,91.6
573,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,92.2
574,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,93.7
575,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,94.2
576,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,92.3
577,POL,Poland,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,92.2
578,CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2000,71.3
579,CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,70.0
580,CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,74.7
581,CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,79.7
582,CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,79.5
583,CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,81.5
584,CHL,Chile,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,61.4
585,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,1998,82.3
586,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,88.5
587,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2005,89.8
588,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,90.7
589,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,89.1
590,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,92.5
591,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,90.6
592,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2010,91.4
593,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2011,91.2
594,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2012,92.3
595,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2013,91.6
596,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2014,92.1
597,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2015,91.0
598,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2016,91.6
599,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2017,91.8
600,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2018,89.3
601,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2019,91.6
602,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2020,90.4
603,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2021,89.9
604,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2022,89.1
605,DEU,Germany,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2023,89.8
606,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1987,79.5
607,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1993,80.3
608,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1995,78.8
609,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,1997,80.8
610,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2001,81.8
611,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2003,80.8
612,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2004,80.7
613,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2005,83.2
614,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2006,83.4
615,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2007,83.6
616,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2008,87.4
617,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2009,85.3
618,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2010,87.5
619,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2011,90.5
620,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2012,90.4
621,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2013,87.9
622,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2014,88.3
623,ESP,Spain,Perceived health status,Percentage of population in the same age,From 25 to 44 years,Good/very good health,2015,88.5
624,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2003,72.0
625,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2006,87.9
626,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2007,91.2
627,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2008,92.0
628,TUR,Türkiye,Perceived health status,Percentage of population in the same age,From 15 to 24 years,Good/very good health,2009,90.5
