,Country,Country_code,Measure,Domain,Unit_of_measure,Age,Year,Well-being_values
3110,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2005,13.8362069
3111,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2006,13.88549673
3112,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2007,13.06850892
3113,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2008,12.58245614
3114,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2009,11.19402985
3115,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2011,9.136685397
3116,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2012,9.573358911
3117,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2013,8.276799424
3118,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2014,6.75398931
3119,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2015,6.273071752
3120,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2016,5.211487979
3121,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2017,5.182147066
3122,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2018,5.269450292
3123,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2019,5.488579615
3124,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2020,4.132601718
3125,Brazil,BRA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2021,4.774713517
3126,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2008,23.48100363
3127,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2009,20.55468303
3128,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2010,19.28451422
3129,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2011,18.85523029
3130,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2012,18.76073268
3131,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2013,18.55481469
3132,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2014,18.09288511
3133,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2015,18.44965418
3134,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2016,18.75931639
3135,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2017,18.22807018
3136,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2018,17.72326827
3137,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2019,17.80725355
3138,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2020,15.82740547
3139,South Africa,ZAF,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2021,14.71039509
3140,Norway,NOR,Adult numeracy skills,Knowledge and skills,Points,Young,2012,270.92701
3141,Greece,GRC,Having a say in government,Civic engagement,Percentage of population aged 16-65 in the same subgroup,Middle-aged,2014,70.30443904
3142,Netherlands,NLD,Adult literacy skills,Knowledge and skills,Points,Middle-aged,2012,295.88509
3143,United States,USA,Adult numeracy skills,Knowledge and skills,Points,Young,2012,253.94424
3144,United States,USA,Adult numeracy skills,Knowledge and skills,Points,Young,2017,254.57085
3145,United States,USA,Adult numeracy skills,Knowledge and skills,Points,Young,2018,254.57085
3146,Slovak Republic,SVK,Satisfaction with personal relationships,Social connections,0-10 scale,Middle-aged,2013,7.897286198
3147,Slovak Republic,SVK,Satisfaction with personal relationships,Social connections,0-10 scale,Middle-aged,2018,8.268222561
3148,Slovak Republic,SVK,Satisfaction with personal relationships,Social connections,0-10 scale,Middle-aged,2022,7.784222928
3149,Canada,CAN,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2011,77.30695605
3150,Canada,CAN,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2012,77.30695605
3151,Canada,CAN,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2014,77.30695605
3152,Canada,CAN,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2017,77.30695605
3153,Canada,CAN,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2018,77.30695605
3154,Canada,CAN,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2019,77.30695605
3155,Canada,CAN,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2020,77.30695605
3156,Canada,CAN,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2021,77.30695605
3157,Canada,CAN,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2022,77.30695605
3158,Finland,FIN,Self-reported depression,Health,Percentage of population aged 15 years or over in the same subgroup,Young,2014,7.0
3159,Finland,FIN,Self-reported depression,Health,Percentage of population aged 15 years or over in the same subgroup,Young,2019,13.6
3160,France,FRA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2010,72.56017327
3161,France,FRA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2012,72.56017327
3162,France,FRA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2013,72.56017327
3163,France,FRA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2014,72.56017327
3164,France,FRA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2015,72.56017327
3165,France,FRA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2016,72.56017327
3166,France,FRA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2017,72.56017327
3167,France,FRA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2018,72.56017327
3168,France,FRA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2019,72.56017327
3169,France,FRA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2020,72.56017327
3170,France,FRA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2021,72.56017327
3171,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2010,8.990740776
3172,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2011,8.990740776
3173,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2012,8.990740776
3174,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2013,8.990740776
3175,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2014,8.990740776
3176,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2015,8.990740776
3177,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2016,8.990740776
3178,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2017,8.990740776
3179,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2018,8.990740776
3180,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2019,8.990740776
3181,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2020,8.990740776
3182,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2021,8.990740776
3183,Slovak Republic,SVK,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2010,66.39016271
3184,Slovak Republic,SVK,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2011,66.39016271
3185,Slovak Republic,SVK,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2012,66.39016271
3186,Slovak Republic,SVK,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2013,66.39016271
3187,Slovak Republic,SVK,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2014,66.39016271
3188,Slovak Republic,SVK,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2015,66.39016271
3189,Slovak Republic,SVK,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2016,66.39016271
3190,Slovak Republic,SVK,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2017,66.39016271
3191,Slovak Republic,SVK,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2018,66.39016271
3192,Slovak Republic,SVK,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2019,66.39016271
3193,Slovak Republic,SVK,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2020,66.39016271
3194,Slovak Republic,SVK,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Young,2021,66.39016271
3195,United States,USA,Voter turnout,Civic engagement,Percentage of votes in the same subgroup,Young,2016,59.76733
3196,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,13.00058812
3197,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,13.00058812
3198,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,13.00058812
3199,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,13.00058812
3200,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,13.00058812
3201,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,13.00058812
3202,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,13.00058812
3203,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,13.00058812
3204,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,13.00058812
3205,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,13.00058812
3206,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,13.00058812
3207,France,FRA,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,13.00058812
3208,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,78.16249132
3209,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,78.16249132
3210,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,78.16249132
3211,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,78.16249132
3212,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,78.16249132
3213,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,78.16249132
3214,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,78.16249132
3215,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,78.16249132
3216,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,78.16249132
3217,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,78.16249132
3218,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,78.16249132
3219,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,78.16249132
3220,United States,USA,Feeling safe at night,Safety,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2022,78.16249132
3221,Estonia,EST,Time spent in social interactions,Social connections,Hours per week,Middle-aged,2009,4.407516635
3222,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2005,60.7
3223,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2006,65.7
3224,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2008,71.0
3225,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2009,60.4
3226,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2010,69.1
3227,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2011,51.7
3228,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2012,67.1
3229,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2013,53.4
3230,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2014,70.2
3231,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2015,47.9
3232,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2016,68.3
3233,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2017,45.2
3234,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2018,70.1
3235,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2019,49.2
3236,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2020,74.0
3237,Korea,KOR,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Young,2022,75.4
3238,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2004,4.25
3239,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2005,4.44
3240,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2006,4.42
3241,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2007,4.03
3242,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2008,4.06
3243,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2009,3.53
3244,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2010,3.3
3245,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2011,3.62
3246,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2012,3.84
3247,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2013,4.0
3248,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2014,4.53
3249,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2015,3.97
3250,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2016,3.89
3251,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2017,3.95
3252,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2018,4.1
3253,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2019,3.81
3254,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2020,3.44
3255,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2021,3.72
3256,United States,USA,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2022,3.54
3257,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2004,8.78
3258,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2005,8.52
3259,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2006,8.25
3260,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2007,7.55
3261,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2008,6.76
3262,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2009,6.8
3263,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2010,6.81
3264,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2011,7.34
3265,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2012,7.44
3266,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2013,7.99
3267,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2014,8.11
3268,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2015,8.28
3269,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2016,8.34
3270,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2017,8.07
3271,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2018,8.21
3272,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2019,8.09
3273,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2020,7.41
3274,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2021,7.76
3275,New Zealand,NZL,Long hours in paid work,Work and job quality,Percentage of employees in the same subgroup,Young,2022,7.72
3276,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2005,64.3
3277,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2006,64.5
3278,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2007,64.3
3279,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2008,69.1
3280,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2009,70.25
3281,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2010,70.65
3282,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2011,70.15
3283,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2012,71.05
3284,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2013,69.75
3285,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2014,70.5
3286,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2015,69.9
3287,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2016,59.2
3288,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2017,58.7
3289,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2018,60.1
3290,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2019,59.8
3291,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2020,61.2
3292,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2021,61.0
3293,Germany,DEU,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2022,61.0
3294,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2004,74.85
3295,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2005,76.15
3296,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2006,77.6
3297,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2007,77.55
3298,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2008,77.05
3299,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2009,76.9
3300,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2010,77.95
3301,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2011,74.4
3302,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2012,75.45
3303,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2013,73.75
3304,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2014,74.1
3305,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2015,72.5
3306,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2016,59.9
3307,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2017,63.8
3308,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2018,60.6
3309,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2019,63.6
3310,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2020,65.7
3311,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2021,70.4
3312,Luxembourg,LUX,Perceived health as positive,Health,Percentage of population aged 16 years or over in the same subgroup,Middle-aged,2022,68.9
3313,South Africa,ZAF,Job strain,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2005,36.75687408
3314,South Africa,ZAF,Job strain,Work and job quality,Percentage of employees in the same subgroup,Middle-aged,2015,26.42028236
3315,Norway,NOR,Adult literacy skills,Knowledge and skills,Points,Young,2012,275.03698
3316,Italy,ITA,Time off,Work-life balance,Hours per day,Middle-aged,2013,16.902833
3317,Sweden,SWE,Satisfaction with personal relationships,Social connections,0-10 scale,Young,2013,8.318853174
3318,Sweden,SWE,Satisfaction with personal relationships,Social connections,0-10 scale,Young,2018,8.52792856
3319,Sweden,SWE,Satisfaction with personal relationships,Social connections,0-10 scale,Young,2022,8.23188217
3320,Slovenia,SVN,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2010,9.162801504
3321,Slovenia,SVN,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2011,9.162801504
3322,Slovenia,SVN,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2012,9.162801504
3323,Slovenia,SVN,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2013,9.162801504
3324,Slovenia,SVN,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2014,9.162801504
3325,Slovenia,SVN,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2015,9.162801504
3326,Slovenia,SVN,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2016,9.162801504
3327,Slovenia,SVN,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2017,9.162801504
3328,Slovenia,SVN,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2018,9.162801504
3329,Slovenia,SVN,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2019,9.162801504
3330,Slovenia,SVN,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2020,9.162801504
3331,Slovenia,SVN,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Young,2021,9.162801504
3332,Ireland,IRL,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2010,10.14199778
3333,Ireland,IRL,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2011,10.14199778
3334,Ireland,IRL,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2012,10.14199778
3335,Ireland,IRL,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2013,10.14199778
3336,Ireland,IRL,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2014,10.14199778
3337,Ireland,IRL,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2015,10.14199778
3338,Ireland,IRL,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2016,10.14199778
3339,Ireland,IRL,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2017,10.14199778
3340,Ireland,IRL,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2018,10.14199778
3341,Ireland,IRL,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2019,10.14199778
3342,Ireland,IRL,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2020,10.14199778
3343,Ireland,IRL,Negative affect balance,Subjective well-being,Percentage of population aged 15 years or over in the same subgroup,Middle-aged,2021,10.14199778
3344,Lithuania,LTU,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2004,7.03503183
3345,Lithuania,LTU,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2005,3.353000822
3346,Lithuania,LTU,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2006,2.485657871
3347,Lithuania,LTU,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2007,1.767645013
3348,Lithuania,LTU,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2008,1.374742995
3349,Lithuania,LTU,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2009,5.19857369
3350,Lithuania,LTU,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2010,10.819748105
3351,Lithuania,LTU,Long-term unemployment rate,Work and job quality,Percentage of labour force in the same subgroup,Young,2011,11.129554085
